,token,year,frequency,pages,books
0,laticaudata,1800,1,1,1
1,laticaudata,1823,2,2,2
2,laticaudata,1827,1,1,1
3,laticaudata,1843,2,2,1
4,laticaudata,1844,6,6,4
5,laticaudata,1854,1,1,1
6,laticaudata,1867,1,1,1
7,laticaudata,1868,1,1,1
8,laticaudata,1873,1,1,1
9,laticaudata,1877,2,2,2
10,laticaudata,1878,3,3,2
11,laticaudata,1885,2,2,2
12,laticaudata,1888,1,1,1
13,laticaudata,1892,2,2,1
14,laticaudata,1893,6,6,6
15,laticaudata,1899,1,1,1
16,laticaudata,1901,1,1,1
17,laticaudata,1905,3,3,1
18,laticaudata,1908,2,2,2
19,laticaudata,1909,7,6,2
20,laticaudata,1910,1,1,1
21,laticaudata,1911,1,1,1
22,laticaudata,1912,1,1,1
23,laticaudata,1918,2,2,1
24,laticaudata,1924,6,3,3
25,laticaudata,1926,2,2,2
26,laticaudata,1927,1,1,1
27,laticaudata,1928,4,4,3
28,laticaudata,1932,1,1,1
29,laticaudata,1933,8,6,3
30,laticaudata,1935,1,1,1
31,laticaudata,1936,1,1,1
32,laticaudata,1938,2,2,1
33,laticaudata,1939,1,1,1
34,laticaudata,1953,7,7,2
35,laticaudata,1954,1,1,1
36,laticaudata,1957,1,1,1
37,laticaudata,1959,1,1,1
38,laticaudata,1960,4,4,1
39,laticaudata,1963,5,4,2
40,laticaudata,1965,12,8,2
41,laticaudata,1967,3,2,1
42,laticaudata,1968,3,3,2
43,laticaudata,1969,6,4,1
44,laticaudata,1971,3,3,1
45,laticaudata,1972,9,2,1
46,laticaudata,1978,6,5,2
47,laticaudata,1983,7,6,3
48,laticaudata,1984,5,4,2
49,laticaudata,1985,10,10,2
50,laticaudata,1986,7,6,2
51,laticaudata,1988,7,7,3
52,laticaudata,1989,4,4,2
53,laticaudata,2003,2,2,1
54,laticaudata,2004,1,1,1
55,laudata,1730,1,1,1
56,laudata,1738,1,1,1
57,laudata,1739,1,1,1
58,laudata,1747,1,1,1
59,laudata,1749,1,1,1
60,laudata,1753,1,1,1
61,laudata,1772,1,1,1
62,laudata,1778,3,3,3
63,laudata,1785,1,1,1
64,laudata,1801,1,1,1
65,laudata,1804,5,5,5
66,laudata,1806,2,2,2
67,laudata,1808,7,7,7
68,laudata,1810,3,3,3
69,laudata,1811,5,5,5
70,laudata,1812,8,8,5
71,laudata,1813,3,3,3
72,laudata,1814,5,5,5
73,laudata,1815,2,2,2
74,laudata,1816,2,2,2
75,laudata,1817,1,1,1
76,laudata,1818,5,5,5
77,laudata,1819,6,6,6
78,laudata,1820,1,1,1
79,laudata,1822,11,11,11
80,laudata,1823,6,6,6
81,laudata,1824,10,10,10
82,laudata,1825,8,8,8
83,laudata,1826,4,4,4
84,laudata,1827,6,6,6
85,laudata,1828,2,2,2
86,laudata,1829,13,13,13
87,laudata,1830,10,10,10
88,laudata,1831,6,6,6
89,laudata,1835,4,4,4
90,laudata,1837,2,2,1
91,laudata,1838,9,9,7
92,laudata,1839,3,3,3
93,laudata,1840,16,16,16
94,laudata,1841,3,3,3
95,laudata,1843,8,8,6
96,laudata,1844,9,9,8
97,laudata,1846,2,2,2
98,laudata,1847,3,3,3
99,laudata,1848,5,5,5
100,laudata,1849,5,5,5
101,laudata,1850,3,3,3
102,laudata,1851,8,8,5
103,laudata,1852,4,4,4
104,laudata,1853,1,1,1
105,laudata,1854,10,10,10
106,laudata,1855,16,16,11
107,laudata,1857,10,10,10
108,laudata,1858,32,32,28
109,laudata,1859,3,3,3
110,laudata,1860,16,16,15
111,laudata,1861,9,9,8
112,laudata,1862,6,6,6
113,laudata,1864,22,22,18
114,laudata,1865,4,4,4
115,laudata,1866,8,8,8
116,laudata,1867,6,6,6
117,laudata,1868,1,1,1
118,laudata,1869,4,4,3
119,laudata,1870,7,7,6
120,laudata,1871,5,5,5
121,laudata,1872,7,7,7
122,laudata,1873,1,1,1
123,laudata,1874,7,7,7
124,laudata,1875,2,2,2
125,laudata,1876,10,10,10
126,laudata,1877,4,4,4
127,laudata,1878,8,8,8
128,laudata,1879,7,7,2
129,laudata,1880,2,2,2
130,laudata,1881,3,3,3
131,laudata,1882,3,3,3
132,laudata,1883,1,1,1
133,laudata,1884,5,5,5
134,laudata,1885,1,1,1
135,laudata,1886,5,5,2
136,laudata,1887,6,6,6
137,laudata,1888,4,4,4
138,laudata,1889,7,7,6
139,laudata,1890,10,10,10
140,laudata,1891,10,10,6
141,laudata,1892,4,4,4
142,laudata,1893,3,3,3
143,laudata,1896,2,2,2
144,laudata,1897,1,1,1
145,laudata,1898,4,4,4
146,laudata,1899,3,3,3
147,laudata,1900,3,3,3
148,laudata,1901,4,4,3
149,laudata,1903,1,1,1
150,laudata,1904,2,2,1
151,laudata,1905,1,1,1
152,laudata,1906,1,1,1
153,laudata,1907,2,2,2
154,laudata,1908,1,1,1
155,laudata,1910,2,2,2
156,laudata,1911,5,5,4
157,laudata,1912,2,2,2
158,laudata,1913,1,1,1
159,laudata,1915,4,4,2
160,laudata,1916,5,5,4
161,laudata,1917,1,1,1
162,laudata,1918,2,2,2
163,laudata,1920,7,7,5
164,laudata,1923,5,5,5
165,laudata,1924,3,3,3
166,laudata,1926,1,1,1
167,laudata,1928,9,9,6
168,laudata,1929,1,1,1
169,laudata,1932,3,3,3
170,laudata,1933,15,15,8
171,laudata,1934,10,10,4
172,laudata,1935,3,3,3
173,laudata,1936,4,4,3
174,laudata,1937,2,2,2
175,laudata,1938,2,2,1
176,laudata,1939,7,7,7
177,laudata,1941,1,1,1
178,laudata,1943,3,3,3
179,laudata,1944,3,3,3
180,laudata,1946,1,1,1
181,laudata,1948,2,2,2
182,laudata,1949,7,7,6
183,laudata,1951,1,1,1
184,laudata,1952,2,2,2
185,laudata,1954,2,2,2
